date,region,crop_focus,latitude,longitude,rainfall_mm,temp_max,temp_min,wind_speed_kmh,consecutive_dry_days,weather_score,anomaly_type,source
2023-01-01,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.9,22.2,27.4,1,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-02,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.1,30.7,21.5,24.8,2,0.1,NORMAL,ERA5_PUBLIC_DATASET
2023-01-03,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,30.7,21.8,23.0,3,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-04,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.7,29.7,21.7,29.9,4,0.3,NORMAL,ERA5_PUBLIC_DATASET
2023-01-05,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,29.6,21.9,33.1,5,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-06,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.5,21.3,23.8,6,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-07,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.1,30.9,20.6,22.0,7,0.1,NORMAL,ERA5_PUBLIC_DATASET
2023-01-08,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,29.6,16.7,22.3,8,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-09,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,29.8,17.3,16.6,9,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-10,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,30.5,17.4,23.0,10,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-11,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.1,18.2,20.2,11,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-12,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.8,19.1,21.2,12,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-13,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.6,19.1,23.4,13,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-14,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.7,19.5,22.7,14,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-15,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,32.2,19.1,30.6,15,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-16,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.7,19.7,29.9,16,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-17,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.5,19.5,37.4,17,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-18,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.8,19.5,31.3,18,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-19,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.3,20.1,25.2,19,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-20,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.6,20.7,31.0,20,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-21,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,32.0,20.5,29.5,21,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-22,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,32.4,20.5,31.0,22,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-23,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.9,19.8,30.6,23,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-24,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,32.0,19.9,29.2,24,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-25,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,32.0,18.8,29.2,25,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-26,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,31.9,18.4,26.6,26,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-27,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,32.8,19.1,27.7,27,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-28,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,33.8,18.3,30.6,28,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-29,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,33.7,20.1,40.7,29,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-01-30,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.1,32.7,21.6,35.6,30,0.1,NORMAL,ERA5_PUBLIC_DATASET
2023-01-31,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,34.9,20.4,30.6,31,0.0,NORMAL,ERA5_PUBLIC_DATASET
2023-02-01,Andhra Pradesh (Krishna District),Rice,16.5,80.6,0.0,34.5,20.6,33.8,32,0.0,NORMAL,ERA5_PUBLIC_DATASET
